,Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP,Common,Crossover,Exotic,Factory Tuner,Hatchback,High-Performance,Hybrid,Luxury,Performance,City Preference,Highway Preference,Vehicle_Title_Partial
1579,Dodge,Charger,2016,gasoline,292,6,AUTOMATIC,RWD,4,Large,Sedan,31,19,1851,27995,True,False,False,False,False,False,False,False,False,False,True,2016 Dodge Charger Sedan
1588,Dodge,Charger,2017,gasoline,292,6,AUTOMATIC,RWD,4,Large,Sedan,30,19,1851,27995,True,False,False,False,False,False,False,False,False,False,True,2017 Dodge Charger Sedan
1598,Chevrolet,City Express,2015,gasoline,131,4,AUTOMATIC,FWD,4,Compact,Minivan,26,24,1385,23515,True,False,False,False,False,False,False,False,False,True,False,2015 Chevrolet City Express Minivan
1600,Chevrolet,City Express,2016,gasoline,131,4,AUTOMATIC,FWD,4,Compact,Minivan,26,24,1385,23515,True,False,False,False,False,False,False,False,False,True,False,2016 Chevrolet City Express Minivan
1602,Chevrolet,City Express,2017,gasoline,131,4,AUTOMATIC,FWD,4,Compact,Minivan,26,24,1385,22405,True,False,False,False,False,False,False,False,False,True,False,2017 Chevrolet City Express Minivan
1604,Honda,Civic,2015,gasoline,143,4,AUTOMATIC,FWD,4,Compact,Sedan,39,30,2202,24340,True,False,False,False,False,False,False,False,False,True,False,2015 Honda Civic Sedan
1607,Honda,Civic,2015,gasoline,205,4,MANUAL,FWD,4,Compact,Sedan,31,22,2202,24590,False,False,False,True,False,False,False,False,True,True,False,2015 Honda Civic Sedan
1609,Honda,Civic,2015,gasoline,205,4,MANUAL,FWD,2,Compact,Coupe,31,22,2202,23090,False,False,False,True,False,False,False,False,True,True,False,2015 Honda Civic Coupe
1620,Honda,Civic,2015,gasoline,143,4,AUTOMATIC,FWD,2,Compact,Coupe,38,29,2202,21190,True,False,False,False,False,False,False,False,False,True,False,2015 Honda Civic Coupe
1628,Honda,Civic,2016,gasoline,174,4,AUTOMATIC,FWD,2,Compact,Coupe,41,31,2202,26125,True,False,False,False,False,False,False,False,False,True,False,2016 Honda Civic Coupe
1630,Honda,Civic,2016,gasoline,174,4,AUTOMATIC,FWD,4,Midsize,Sedan,42,31,2202,26500,True,False,False,False,False,False,False,False,False,True,False,2016 Honda Civic Sedan
1632,Honda,Civic,2016,gasoline,158,4,MANUAL,FWD,4,Midsize,Sedan,40,27,2202,18640,True,False,False,False,False,False,False,False,False,True,False,2016 Honda Civic Sedan
1638,Honda,Civic,2016,gasoline,158,4,MANUAL,FWD,2,Compact,Coupe,38,26,2202,19050,True,False,False,False,False,False,False,False,False,True,False,2016 Honda Civic Coupe
1645,Honda,Civic,2017,gasoline,174,4,MANUAL,FWD,4,Compact,Hatchback,39,30,2202,19700,False,False,False,False,True,False,False,False,False,True,False,2017 Honda Civic Hatchback
1651,Honda,Civic,2017,gasoline,174,4,AUTOMATIC,FWD,4,Midsize,Sedan,42,32,2202,26600,False,False,False,False,False,False,False,False,True,True,False,2017 Honda Civic Sedan
1652,Honda,Civic,2017,gasoline,174,4,AUTOMATIC,FWD,2,Compact,Coupe,40,31,2202,26225,False,False,False,False,False,False,False,False,True,True,False,2017 Honda Civic Coupe
1665,Honda,Civic,2017,gasoline,158,4,MANUAL,FWD,2,Compact,Coupe,39,28,2202,19150,True,False,False,False,False,False,False,False,False,True,False,2017 Honda Civic Coupe
1670,Mercedes-Benz,CL-Class,2012,gasoline,621,12,AUTOMATIC,RWD,2,Large,Coupe,18,12,617,211000,False,False,False,True,False,True,False,True,False,False,True,2012 Mercedes-Benz CL-Class Coupe
1674,Mercedes-Benz,CL-Class,2013,gasoline,621,12,AUTOMATIC,RWD,2,Large,Coupe,18,12,617,213200,False,False,False,True,False,True,False,True,False,False,True,2013 Mercedes-Benz CL-Class Coupe
1678,Mercedes-Benz,CL-Class,2014,gasoline,621,12,AUTOMATIC,RWD,2,Large,Coupe,18,12,617,215500,False,False,False,True,False,True,False,True,False,False,True,2014 Mercedes-Benz CL-Class Coupe
1682,Mercedes-Benz,CLA-Class,2015,gasoline,208,4,AUTOMATED_MANUAL,FWD,4,Midsize,Sedan,38,26,617,31500,False,False,False,False,False,False,False,True,False,True,False,2015 Mercedes-Benz CLA-Class Sedan
1685,Mercedes-Benz,CLA-Class,2016,gasoline,208,4,AUTOMATED_MANUAL,FWD,4,Midsize,Sedan,38,26,617,32050,False,False,False,False,False,False,False,True,False,True,False,2016 Mercedes-Benz CLA-Class Sedan
1688,Mercedes-Benz,CLA-Class,2017,gasoline,208,4,AUTOMATIC,FWD,4,Midsize,Sedan,38,26,617,32400,False,False,False,False,False,False,False,True,False,True,False,2017 Mercedes-Benz CLA-Class Sedan
1691,Mercedes-Benz,CLS-Class,2015,gasoline,402,8,AUTOMATIC,RWD,4,Midsize,Sedan,26,17,617,73200,False,False,False,False,False,True,False,True,False,False,True,2015 Mercedes-Benz CLS-Class Sedan
1696,Mercedes-Benz,CLS-Class,2016,gasoline,329,6,AUTOMATIC,RWD,4,Midsize,Sedan,30,20,617,66900,False,False,False,False,False,False,False,True,True,False,True,2016 Mercedes-Benz CLS-Class Sedan
1701,Mercedes-Benz,CLS-Class,2017,gasoline,402,8,AUTOMATIC,RWD,4,Midsize,Sedan,26,18,617,74850,False,False,False,False,False,True,False,True,False,False,True,2017 Mercedes-Benz CLS-Class Sedan
1704,Chevrolet,Cobalt,2010,gasoline,155,4,MANUAL,FWD,4,Compact,Sedan,37,25,1385,15670,True,False,False,False,False,False,False,False,False,True,False,2010 Chevrolet Cobalt Sedan
1705,Chevrolet,Cobalt,2010,gasoline,260,4,MANUAL,FWD,2,Compact,Coupe,30,22,1385,24535,False,False,False,True,False,True,False,False,False,True,False,2010 Chevrolet Cobalt Coupe
1711,Chevrolet,Colorado,2012,gasoline,300,8,AUTOMATIC,RWD,4,Compact,Pickup,20,14,1385,28340,False,False,False,False,False,False,False,False,True,False,True,2012 Chevrolet Colorado Pickup
1713,Chevrolet,Colorado,2012,gasoline,185,4,MANUAL,4WD,4,Compact,Pickup,24,18,1385,23030,True,False,False,False,False,False,False,False,False,False,True,2012 Chevrolet Colorado Pickup
1727,Chevrolet,Colorado,2015,gasoline,200,4,AUTOMATIC,4WD,4,Compact,Pickup,25,19,1385,29220,True,False,False,False,False,False,False,False,False,False,True,2015 Chevrolet Colorado Pickup
1746,Chevrolet,Colorado,2016,gasoline,305,6,AUTOMATIC,4WD,4,Compact,Pickup,24,17,1385,30665,False,False,False,False,False,False,False,False,False,False,True,2016 Chevrolet Colorado Pickup
1753,Chevrolet,Colorado,2016,gasoline,200,4,MANUAL,RWD,4,Compact,Pickup,26,19,1385,20100,True,False,False,False,False,False,False,False,False,False,True,2016 Chevrolet Colorado Pickup
1765,Bentley,Continental Flying Spur Speed,2011,gasoline,600,12,AUTOMATIC,AWD,4,Large,Sedan,17,10,520,206600,False,False,True,True,False,True,False,True,False,False,True,2011 Bentley Continental Flying Spur Speed Sedan
1766,Bentley,Continental Flying Spur Speed,2012,flex-fuel,600,12,AUTOMATIC,AWD,4,Large,Sedan,17,10,520,209600,False,False,True,True,False,True,False,True,False,False,True,2012 Bentley Continental Flying Spur Speed Sedan
1767,Bentley,Continental Flying Spur Speed,2013,flex-fuel,600,12,AUTOMATIC,AWD,4,Large,Sedan,17,10,520,209600,False,False,True,True,False,True,False,True,False,False,True,2013 Bentley Continental Flying Spur Speed Sedan
1768,Bentley,Continental Flying Spur,2011,flex-fuel,552,12,AUTOMATIC,AWD,4,Large,Sedan,18,11,520,181200,False,False,True,False,False,True,False,True,False,False,True,2011 Bentley Continental Flying Spur Sedan
1769,Bentley,Continental Flying Spur,2012,flex-fuel,552,12,AUTOMATIC,AWD,4,Large,Sedan,19,11,520,184200,False,False,True,False,False,True,False,True,False,False,True,2012 Bentley Continental Flying Spur Sedan
1770,Bentley,Continental Flying Spur,2013,flex-fuel,552,12,AUTOMATIC,AWD,4,Large,Sedan,19,11,520,184200,False,False,True,False,False,True,False,True,False,False,True,2013 Bentley Continental Flying Spur Sedan
1771,Bentley,Continental GT Speed Convertible,2014,flex-fuel,626,12,AUTOMATIC,AWD,2,Midsize,Convertible,20,12,520,238700,False,False,True,True,False,True,False,True,False,False,True,2014 Bentley Continental GT Speed Convertible Convertible
1772,Bentley,Continental GT Speed,2010,gasoline,600,12,AUTOMATIC,AWD,2,Midsize,Coupe,17,10,520,207700,False,False,True,True,False,True,False,True,False,False,True,2010 Bentley Continental GT Speed Coupe
1773,Bentley,Continental GT Speed,2014,flex-fuel,616,12,AUTOMATIC,AWD,2,Midsize,Coupe,20,13,520,217000,False,False,True,True,False,True,False,True,False,False,True,2014 Bentley Continental GT Speed Coupe
1774,Bentley,Continental GT3-R,2015,gasoline,572,8,AUTOMATIC,AWD,2,Midsize,Coupe,23,13,520,337000,False,False,True,True,False,True,False,True,False,False,True,2015 Bentley Continental GT3-R Coupe
1775,Bentley,Continental GT,2014,gasoline,500,8,AUTOMATIC,AWD,2,Midsize,Coupe,24,15,520,177500,False,False,True,False,False,True,False,True,False,False,True,2014 Bentley Continental GT Coupe
1777,Bentley,Continental GT,2014,flex-fuel,567,12,AUTOMATIC,AWD,2,Midsize,Coupe,21,12,520,198600,False,False,True,False,False,True,False,True,False,False,True,2014 Bentley Continental GT Coupe
1778,Bentley,Continental GT,2015,flex-fuel,626,12,AUTOMATIC,AWD,2,Midsize,Convertible,20,12,520,250100,False,False,True,True,False,True,False,True,False,False,True,2015 Bentley Continental GT Convertible
1779,Bentley,Continental GT,2015,flex-fuel,626,12,AUTOMATIC,AWD,2,Midsize,Coupe,21,12,520,227600,False,False,True,True,False,True,False,True,False,False,True,2015 Bentley Continental GT Coupe
1781,Bentley,Continental GT,2015,gasoline,521,8,AUTOMATIC,AWD,2,Midsize,Convertible,24,14,520,219400,False,False,True,True,False,True,False,True,False,False,True,2015 Bentley Continental GT Convertible
1783,Bentley,Continental GT,2015,gasoline,500,8,AUTOMATIC,AWD,2,Midsize,Coupe,25,15,520,187900,False,False,True,False,False,True,False,True,False,False,True,2015 Bentley Continental GT Coupe
1786,Bentley,Continental GT,2016,gasoline,521,8,AUTOMATIC,AWD,2,Midsize,Convertible,24,14,520,231800,False,False,True,True,False,True,False,True,False,False,True,2016 Bentley Continental GT Convertible
1787,Bentley,Continental GT,2016,gasoline,500,8,AUTOMATIC,AWD,2,Midsize,Coupe,25,15,520,198500,False,False,True,False,False,True,False,True,False,False,True,2016 Bentley Continental GT Coupe
1794,Bentley,Continental GTC Speed,2010,gasoline,600,12,AUTOMATIC,AWD,2,Midsize,Convertible,17,10,520,231400,False,False,True,True,False,True,False,True,False,False,True,2010 Bentley Continental GTC Speed Convertible
1795,Bentley,Continental GTC Speed,2011,flex-fuel,600,12,AUTOMATIC,AWD,2,Midsize,Convertible,17,10,520,236100,False,False,True,True,False,True,False,True,False,False,True,2011 Bentley Continental GTC Speed Convertible
1796,Bentley,Continental GTC,2012,flex-fuel,567,12,AUTOMATIC,AWD,2,Midsize,Convertible,19,11,520,212800,False,False,True,False,False,True,False,True,False,False,True,2012 Bentley Continental GTC Convertible
1797,Bentley,Continental GTC,2013,flex-fuel,567,12,AUTOMATIC,AWD,2,Midsize,Convertible,19,11,520,212800,False,False,True,False,False,True,False,True,False,False,True,2013 Bentley Continental GTC Convertible
1798,Bentley,Continental GTC,2013,gasoline,500,8,AUTOMATIC,AWD,2,Midsize,Convertible,24,14,520,191400,False,False,True,False,False,True,False,True,False,False,True,2013 Bentley Continental GTC Convertible
1799,Bentley,Continental GTC,2014,gasoline,500,8,AUTOMATIC,AWD,2,Midsize,Convertible,24,14,520,195200,False,False,True,False,False,True,False,True,False,False,True,2014 Bentley Continental GTC Convertible
1800,Bentley,Continental GTC,2014,flex-fuel,567,12,AUTOMATIC,AWD,2,Midsize,Convertible,20,12,520,218500,False,False,True,False,False,True,False,True,False,False,True,2014 Bentley Continental GTC Convertible
1802,Bentley,Continental Supersports Convertible,2011,flex-fuel,621,12,AUTOMATIC,AWD,2,Midsize,Convertible,19,12,520,280400,False,False,True,True,False,True,False,True,False,False,True,2011 Bentley Continental Supersports Convertible Convertible
1803,Bentley,Continental Supersports Convertible,2012,flex-fuel,621,12,AUTOMATIC,AWD,2,Midsize,Convertible,19,12,520,280400,False,False,True,True,False,True,False,True,False,False,True,2012 Bentley Continental Supersports Convertible Convertible
1804,Bentley,Continental Supersports,2010,flex-fuel,621,12,AUTOMATIC,AWD,2,Midsize,Coupe,19,12,520,267000,False,False,True,True,False,True,False,True,False,False,True,2010 Bentley Continental Supersports Coupe
1805,Bentley,Continental Supersports,2011,flex-fuel,621,12,AUTOMATIC,AWD,2,Midsize,Coupe,19,12,520,267000,False,False,True,True,False,True,False,True,False,False,True,2011 Bentley Continental Supersports Coupe
1806,Bentley,Continental Supersports,2012,flex-fuel,621,12,AUTOMATIC,AWD,2,Midsize,Coupe,19,12,520,267000,False,False,True,True,False,True,False,True,False,False,True,2012 Bentley Continental Supersports Coupe
1807,Lincoln,Continental,2017,gasoline,305,6,AUTOMATIC,FWD,4,Large,Sedan,26,17,61,44560,False,False,False,False,False,False,False,True,False,False,True,2017 Lincoln Continental Sedan
1815,Toyota,Corolla iM,2017,gasoline,137,4,MANUAL,FWD,4,Compact,Hatchback,35,27,2031,18750,False,False,False,False,True,False,False,False,False,True,False,2017 Toyota Corolla iM Hatchback
1817,Toyota,Corolla,2015,gasoline,140,4,AUTOMATIC,FWD,4,Compact,Sedan,42,30,2031,18965,True,False,False,False,False,False,False,False,False,True,False,2015 Toyota Corolla Sedan
1822,Toyota,Corolla,2015,gasoline,132,4,MANUAL,FWD,4,Compact,Sedan,37,28,2031,16950,True,False,False,False,False,False,False,False,False,True,False,2015 Toyota Corolla Sedan
1829,Toyota,Corolla,2016,gasoline,140,4,AUTOMATIC,FWD,4,Compact,Sedan,42,30,2031,19135,True,False,False,False,False,False,False,False,False,True,False,2016 Toyota Corolla Sedan
1832,Toyota,Corolla,2016,gasoline,132,4,MANUAL,FWD,4,Compact,Sedan,37,28,2031,17300,True,False,False,False,False,False,False,False,False,True,False,2016 Toyota Corolla Sedan
1842,Toyota,Corolla,2017,gasoline,132,4,AUTOMATIC,FWD,4,Compact,Sedan,35,28,2031,22680,True,False,False,False,False,False,False,False,False,True,False,2017 Toyota Corolla Sedan
1851,Chevrolet,Corvette Stingray,2014,gasoline,455,8,MANUAL,RWD,2,Compact,Coupe,29,17,1385,53000,False,False,False,False,False,True,False,False,False,False,True,2014 Chevrolet Corvette Stingray Coupe
1853,Chevrolet,Corvette Stingray,2014,gasoline,455,8,MANUAL,RWD,2,Compact,Convertible,29,17,1385,62000,False,False,False,False,False,True,False,False,False,False,True,2014 Chevrolet Corvette Stingray Convertible
1855,Chevrolet,Corvette,2015,gasoline,460,8,MANUAL,RWD,2,Compact,Convertible,29,17,1385,68160,False,False,False,False,False,True,False,False,False,False,True,2015 Chevrolet Corvette Convertible
1856,Chevrolet,Corvette,2015,gasoline,460,8,MANUAL,RWD,2,Compact,Coupe,29,17,1385,64160,False,False,False,False,False,True,False,False,False,False,True,2015 Chevrolet Corvette Coupe
1873,Chevrolet,Corvette,2016,gasoline,650,8,MANUAL,RWD,2,Compact,Coupe,22,15,1385,88345,False,False,False,True,False,True,False,False,False,False,True,2016 Chevrolet Corvette Coupe
1877,Chevrolet,Corvette,2016,gasoline,650,8,MANUAL,RWD,2,Compact,Convertible,22,15,1385,83400,False,False,False,True,False,True,False,False,False,False,True,2016 Chevrolet Corvette Convertible
1891,Chevrolet,Corvette,2017,gasoline,650,8,MANUAL,RWD,2,Compact,Convertible,22,15,1385,87015,False,False,False,True,False,True,False,False,False,False,True,2017 Chevrolet Corvette Convertible
1892,Chevrolet,Corvette,2017,gasoline,455,8,MANUAL,RWD,2,Compact,Coupe,25,16,1385,59905,False,False,False,False,False,True,False,False,False,False,True,2017 Chevrolet Corvette Coupe
1915,Honda,CR-V,2014,gasoline,185,4,AUTOMATIC,AWD,4,Compact,SUV,30,22,2202,26470,False,True,False,False,False,False,False,False,False,True,False,2014 Honda CR-V SUV
1925,Honda,CR-V,2015,gasoline,185,4,AUTOMATIC,AWD,4,Compact,SUV,33,26,2202,32895,False,True,False,False,False,False,False,False,False,True,False,2015 Honda CR-V SUV
1935,Honda,CR-V,2016,gasoline,185,4,AUTOMATIC,AWD,4,Compact,SUV,31,25,2202,27295,False,True,False,False,False,False,False,False,False,True,False,2016 Honda CR-V SUV
1947,Honda,CR-Z,2014,gasoline,130,4,AUTOMATIC,FWD,2,Compact,Hatchback,39,36,2202,20645,False,False,False,False,True,False,True,False,False,True,False,2014 Honda CR-Z Hatchback
1953,Honda,CR-Z,2015,gasoline,130,4,MANUAL,FWD,2,Compact,Hatchback,38,31,2202,21990,False,False,False,False,True,False,True,False,False,True,False,2015 Honda CR-Z Hatchback
1959,Honda,CR-Z,2016,gasoline,130,4,MANUAL,FWD,2,Compact,Hatchback,38,31,2202,22140,False,False,False,False,True,False,True,False,False,True,False,2016 Honda CR-Z Hatchback
1965,Honda,Crosstour,2013,gasoline,278,6,AUTOMATIC,FWD,4,Midsize,Hatchback,30,20,2202,33540,False,True,False,False,True,False,False,False,False,False,True,2013 Honda Crosstour Hatchback
1973,Honda,Crosstour,2014,gasoline,278,6,AUTOMATIC,FWD,4,Midsize,Hatchback,30,20,2202,33690,False,True,False,False,True,False,False,False,False,False,True,2014 Honda Crosstour Hatchback
1981,Honda,Crosstour,2015,gasoline,192,4,AUTOMATIC,FWD,4,Midsize,Hatchback,31,22,2202,33315,False,True,False,False,True,False,False,False,False,True,False,2015 Honda Crosstour Hatchback
1989,Subaru,Crosstrek,2016,gasoline,160,4,AUTOMATIC,AWD,4,Compact,SUV,34,30,640,26395,False,True,False,False,False,False,True,False,False,True,False,2016 Subaru Crosstrek SUV
1990,Subaru,Crosstrek,2016,gasoline,148,4,MANUAL,AWD,4,Compact,SUV,31,23,640,22395,False,True,False,False,False,False,False,False,False,True,False,2016 Subaru Crosstrek SUV
1995,Subaru,Crosstrek,2017,gasoline,148,4,MANUAL,AWD,4,Compact,SUV,30,23,640,22495,False,True,False,False,False,False,False,False,False,True,False,2017 Subaru Crosstrek SUV
1999,Ford,Crown Victoria,2010,flex-fuel,224,8,AUTOMATIC,RWD,4,Large,Sedan,24,16,5657,29905,False,False,False,False,False,False,False,False,False,False,True,2010 Ford Crown Victoria Sedan
2000,Ford,Crown Victoria,2011,flex-fuel,239,8,AUTOMATIC,RWD,4,Large,Sedan,24,16,5657,29905,False,False,False,False,False,False,False,False,False,False,True,2011 Ford Crown Victoria Sedan
2001,Chevrolet,Cruze Limited,2016,gasoline,138,4,MANUAL,FWD,4,Midsize,Sedan,42,28,1385,20195,True,False,False,False,False,False,False,False,False,True,False,2016 Chevrolet Cruze Limited Sedan
2010,Chevrolet,Cruze,2015,gasoline,138,4,MANUAL,FWD,4,Midsize,Sedan,36,25,1385,16170,True,False,False,False,False,False,False,False,False,True,False,2015 Chevrolet Cruze Sedan
2019,Chevrolet,Cruze,2015,diesel,148,4,AUTOMATIC,FWD,4,Midsize,Sedan,46,27,1385,25660,False,False,False,False,False,False,False,False,False,True,False,2015 Chevrolet Cruze Sedan
2020,Chevrolet,Cruze,2016,gasoline,153,4,AUTOMATIC,FWD,4,Midsize,Sedan,42,30,1385,19120,True,False,False,False,False,False,False,False,False,True,False,2016 Chevrolet Cruze Sedan
2026,Chevrolet,Cruze,2017,gasoline,153,4,AUTOMATIC,FWD,4,Compact,Hatchback,38,29,1385,21920,False,False,False,False,True,False,False,False,False,True,False,2017 Chevrolet Cruze Hatchback
2028,Chevrolet,Cruze,2017,gasoline,153,4,AUTOMATIC,FWD,4,Midsize,Sedan,40,30,1385,21450,True,False,False,False,False,False,False,False,False,True,False,2017 Chevrolet Cruze Sedan
2035,Lexus,CT 200h,2015,gasoline,134,4,AUTOMATIC,FWD,4,Compact,Hatchback,40,43,454,32200,False,False,False,False,True,False,True,True,False,True,False,2015 Lexus CT 200h Hatchback
2036,Lexus,CT 200h,2016,gasoline,134,4,AUTOMATIC,FWD,4,Compact,Hatchback,40,43,454,31250,False,False,False,False,True,False,True,True,False,True,False,2016 Lexus CT 200h Hatchback
2037,Lexus,CT 200h,2017,gasoline,134,4,AUTOMATIC,FWD,4,Compact,Hatchback,40,43,454,31250,False,False,False,False,True,False,True,True,False,True,False,2017 Lexus CT 200h Hatchback
2038,Cadillac,CT6,2016,gasoline,265,4,AUTOMATIC,RWD,4,Large,Sedan,31,22,1624,58395,False,False,False,False,False,False,False,True,False,True,False,2016 Cadillac CT6 Sedan
2047,Cadillac,CT6,2017,gasoline,404,6,AUTOMATIC,AWD,4,Large,Sedan,26,18,1624,64395,False,False,False,False,False,True,False,True,False,False,True,2017 Cadillac CT6 Sedan
2056,Cadillac,CTS Coupe,2012,gasoline,318,6,AUTOMATIC,AWD,2,Midsize,Coupe,27,18,1624,40615,False,False,False,False,False,False,False,True,True,False,True,2012 Cadillac CTS Coupe Coupe
2062,Cadillac,CTS Coupe,2013,gasoline,318,6,AUTOMATIC,AWD,2,Midsize,Coupe,27,18,1624,40805,False,False,False,False,False,False,False,True,True,False,True,2013 Cadillac CTS Coupe Coupe
2068,Cadillac,CTS Coupe,2014,gasoline,318,6,AUTOMATIC,RWD,2,Midsize,Coupe,27,18,1624,39495,False,False,False,False,False,False,False,True,True,False,True,2014 Cadillac CTS Coupe Coupe
2074,Cadillac,CTS-V Coupe,2013,gasoline,556,8,MANUAL,RWD,2,Midsize,Coupe,19,14,1624,63215,False,False,False,True,False,True,False,True,False,False,True,2013 Cadillac CTS-V Coupe Coupe
2075,Cadillac,CTS-V Coupe,2014,gasoline,556,8,MANUAL,RWD,2,Midsize,Coupe,19,14,1624,63600,False,False,False,True,False,True,False,True,False,False,True,2014 Cadillac CTS-V Coupe Coupe
2076,Cadillac,CTS-V Coupe,2015,gasoline,556,8,MANUAL,RWD,2,Midsize,Coupe,19,14,1624,69900,False,False,False,True,False,True,False,True,False,False,True,2015 Cadillac CTS-V Coupe Coupe
2077,Cadillac,CTS-V Wagon,2012,gasoline,556,8,MANUAL,RWD,4,Midsize,Wagon,19,14,1624,63215,False,False,False,True,False,True,False,True,False,False,True,2012 Cadillac CTS-V Wagon Wagon
2078,Cadillac,CTS-V Wagon,2013,gasoline,556,8,MANUAL,RWD,4,Midsize,Wagon,19,14,1624,63215,False,False,False,True,False,True,False,True,False,False,True,2013 Cadillac CTS-V Wagon Wagon
2079,Cadillac,CTS-V Wagon,2014,gasoline,556,8,MANUAL,RWD,4,Midsize,Wagon,19,14,1624,63600,False,False,False,True,False,True,False,True,False,False,True,2014 Cadillac CTS-V Wagon Wagon
2080,Cadillac,CTS-V,2014,gasoline,556,8,MANUAL,RWD,4,Midsize,Sedan,19,14,1624,63600,False,False,False,True,False,True,False,True,False,False,True,2014 Cadillac CTS-V Sedan
2081,Cadillac,CTS-V,2016,gasoline,640,8,AUTOMATIC,RWD,4,Large,Sedan,21,14,1624,83995,False,False,False,True,False,True,False,True,False,False,True,2016 Cadillac CTS-V Sedan
2082,Cadillac,CTS-V,2017,gasoline,640,8,AUTOMATIC,RWD,4,Large,Sedan,21,14,1624,85995,False,False,False,True,False,True,False,True,False,False,True,2017 Cadillac CTS-V Sedan
2083,Cadillac,CTS Wagon,2012,gasoline,270,6,AUTOMATIC,RWD,4,Midsize,Wagon,27,18,1624,39015,False,False,False,False,False,False,False,True,False,False,True,2012 Cadillac CTS Wagon Wagon
2091,Cadillac,CTS Wagon,2013,gasoline,318,6,AUTOMATIC,RWD,4,Midsize,Wagon,26,18,1624,44190,False,False,False,False,False,False,False,True,True,False,True,2013 Cadillac CTS Wagon Wagon
2099,Cadillac,CTS Wagon,2014,gasoline,318,6,AUTOMATIC,RWD,4,Midsize,Wagon,26,18,1624,49795,False,False,False,False,False,False,False,True,True,False,True,2014 Cadillac CTS Wagon Wagon
2105,Cadillac,CTS,2015,flex-fuel,321,6,AUTOMATIC,AWD,4,Large,Sedan,26,18,1624,54970,False,False,False,False,False,False,False,True,True,False,True,2015 Cadillac CTS Sedan
2106,Cadillac,CTS,2015,gasoline,272,4,AUTOMATIC,RWD,4,Large,Sedan,30,20,1624,51270,False,False,False,False,False,False,False,True,True,False,True,2015 Cadillac CTS Sedan
2121,Cadillac,CTS,2016,gasoline,335,6,AUTOMATIC,RWD,4,Large,Sedan,30,20,1624,58285,False,False,False,False,False,True,False,True,False,False,True,2016 Cadillac CTS Sedan
2137,Cadillac,CTS,2017,gasoline,335,6,AUTOMATIC,AWD,4,Large,Sedan,27,19,1624,61195,False,False,False,False,False,False,False,True,True,False,True,2017 Cadillac CTS Sedan
2147,Nissan,Cube,2012,gasoline,122,4,MANUAL,FWD,4,Compact,Wagon,30,25,2009,14980,True,False,False,False,False,False,False,False,False,True,False,2012 Nissan Cube Wagon
2151,Nissan,Cube,2013,gasoline,122,4,MANUAL,FWD,4,Compact,Wagon,30,25,2009,16760,True,False,False,False,False,False,False,False,False,True,False,2013 Nissan Cube Wagon
2154,Nissan,Cube,2014,gasoline,122,4,AUTOMATIC,FWD,4,Compact,Wagon,31,27,2009,19000,True,False,False,False,False,False,False,False,False,True,False,2014 Nissan Cube Wagon
2157,Mazda,CX-3,2016,gasoline,146,4,AUTOMATIC,FWD,4,Compact,SUV,35,29,586,19960,False,True,False,False,False,False,False,False,False,True,False,2016 Mazda CX-3 SUV
2163,Mazda,CX-3,2017,gasoline,146,4,AUTOMATIC,FWD,4,Compact,SUV,34,29,586,24990,False,True,False,False,False,False,False,False,False,True,False,2017 Mazda CX-3 SUV
2169,Mazda,CX-5,2014,gasoline,155,4,AUTOMATIC,FWD,4,Midsize,SUV,32,26,586,22795,False,True,False,False,False,False,False,False,False,True,False,2014 Mazda CX-5 SUV
2176,Mazda,CX-5,2015,gasoline,184,4,AUTOMATIC,FWD,4,Midsize,SUV,32,25,586,27970,False,True,False,False,False,False,False,False,False,True,False,2015 Mazda CX-5 SUV
2179,Mazda,CX-5,2015,gasoline,155,4,MANUAL,FWD,4,Midsize,SUV,35,26,586,21545,False,True,False,False,False,False,False,False,False,True,False,2015 Mazda CX-5 SUV
2184,Mazda,CX-5,2016,gasoline,155,4,MANUAL,FWD,4,Midsize,SUV,35,26,586,21795,False,True,False,False,False,False,False,False,False,True,False,2016 Mazda CX-5 SUV
2185,Mazda,CX-5,2016,gasoline,184,4,AUTOMATIC,AWD,4,Midsize,SUV,30,24,586,26465,False,True,False,False,False,False,False,False,False,True,False,2016 Mazda CX-5 SUV
2198,Mazda,CX-7,2010,gasoline,244,4,AUTOMATIC,FWD,4,Midsize,SUV,25,18,586,25950,False,True,False,False,False,False,False,False,False,False,True,2010 Mazda CX-7 SUV
2204,Mazda,CX-7,2011,gasoline,244,4,AUTOMATIC,AWD,4,Midsize,SUV,21,17,586,33340,False,True,False,False,False,False,False,False,False,False,True,2011 Mazda CX-7 SUV
2211,Mazda,CX-7,2012,gasoline,244,4,AUTOMATIC,FWD,4,Midsize,SUV,24,18,586,26455,False,True,False,False,False,False,False,False,False,False,True,2012 Mazda CX-7 SUV
2218,Mazda,CX-9,2014,gasoline,273,6,AUTOMATIC,AWD,4,Large,SUV,22,16,586,31575,False,True,False,False,False,False,False,False,False,False,True,2014 Mazda CX-9 SUV
2224,Mazda,CX-9,2015,gasoline,273,6,AUTOMATIC,FWD,4,Large,SUV,24,17,586,35035,False,True,False,False,False,False,False,False,True,False,True,2015 Mazda CX-9 SUV
